null,null,Alison Krauss with David Gray,concerts,concerts,-122.254,37.8736,0.0,0.0,20171020
null,null,Skillet with Air 1 Positive Hits Tour and Britt Nicole,concerts,concerts,-117.076,32.7772,0.0,0.0,20171020
null,null,Frank Foster,concerts,concerts,-97.3308,32.7555,0.0,0.0,20171020
null,null,Abel Pintos "11",concerts,concerts,-102.552784,23.634501,0.0,0.0,20171020
null,null,Randy Houser,concerts,concerts,-112.09,33.4658,0.0,0.0,20171020
null,null,Big Daddy Weave with We Are Messengers,concerts,concerts,-117.187,46.7216,0.0,0.0,20171020
null,null,Marilyn Manson,concerts,concerts,-104.977,39.7404,0.0,0.0,20171020
null,null,Timbiriche,concerts,concerts,-103.381293,20.733318,0.0,0.0,20171020
null,null,CONCACAF League - Final - Olimpia vs Santos de Guápiles,sports,sports,-88.00684,15.470142,0.0,0.0,20171020
null,null,Chris Knight,concerts,concerts,-117.3972,47.665927,0.0,0.0,20171020
null,null,In Flames,concerts,concerts,-43.181611,-22.911985,0.0,0.0,20171020
null,null,Jabbawockeez,concerts,concerts,-115.169756,36.102916,0.0,0.0,20171020
null,null,Dallas Stars vs Arizona Coyotes,sports,sports,-112.261,33.5315,0.0,0.0,20171020
null,null,M 5.3 - 127km NNE of Lae, Papua New Guinea,disasters,disasters,147.271,-5.6054,0.0,0.0,20171020
null,null,Speechless SF October 19th!,concerts,concerts,-122.419379,37.768987,0.0,0.0,20171020
null,null,The Expanders,concerts,concerts,-117.917611,33.699807,0.0,0.0,20171020
null,null,A Day To Remember,concerts,concerts,-111.944,33.4369,0.0,0.0,20171020
null,null,Severe Delays - Dabolim Airport (GOI),airport-delays,airport-delays,73.839825,15.384534,0.0,0.0,20171020
null,null,Luis Fonsi,concerts,concerts,-100.268934,25.679489,0.0,0.0,20171020
null,null,ODESZA with Sofi Tukker,concerts,concerts,-117.212,32.7553,0.0,0.0,20171020
null,null,Los Angeles Clippers vs Los Angeles Lakers,sports,sports,-118.267,34.0431,0.0,0.0,20171020
null,null,Andrew Bird,festivals,festivals,-122.421,37.7763,0.0,0.0,20171020
null,null,Foreigner,concerts,concerts,-120.206,55.7448,0.0,0.0,20171020
null,null,Marbin,concerts,concerts,-73.9635,40.6712,0.0,0.0,20171020
null,null,Haim with Rostam,concerts,concerts,-118.296,34.1206,0.0,0.0,20171020
null,null,Travis Tritt,concerts,concerts,-118.376,33.7722,0.0,0.0,20171020
null,null,The Jesus and Mary Chain with Cold Cave,concerts,concerts,-122.433,37.784,0.0,0.0,20171020
null,null,Joe Bonamassa,concerts,concerts,-122.41,37.7825,0.0,0.0,20171020
null,null,The Jesus and Mary Chain with Cold Cave,concerts,concerts,-122.433,37.784,0.0,0.0,20171020
null,null,Jimmy Buffett with Tim Hockenberry,concerts,concerts,-122.418,37.7785,0.0,0.0,20171020
null,null,Dallas Stars At Arizona Coyotes,sports,sports,-112.142403,33.713501,0.0,0.0,20171020
null,null,Avenged Sevenfold,concerts,concerts,-118.244,34.0522,0.0,0.0,20171020
null,null,Carlos Menica,concerts,concerts,-112.074272,33.447517,0.0,0.0,20171020
null,null,Ozomatli,concerts,concerts,-119.7,34.4213,0.0,0.0,20171020
null,null,Gareth Emery,concerts,concerts,-121.842,39.7293,0.0,0.0,20171020
null,null,Andre Rieu,concerts,concerts,-112.079564,33.448775,0.0,0.0,20171020
null,null,Washington Huskies at Stanford Cardinal Women's Volleyball,sports,sports,-122.160633,37.429623,0.0,0.0,20171020
null,null,Johnnyswim,concerts,concerts,-118.265,34.0449,0.0,0.0,20171020
null,null,John Mark McMillan with Kings Kaleidoscope,concerts,concerts,-122.267,37.8663,0.0,0.0,20171020
null,null,Severe Delays - Nome Airport (OME),airport-delays,airport-delays,-165.431055,64.510601,0.0,0.0,20171020
null,null,Echosmith with Banners,concerts,concerts,-118.32,34.1,0.0,0.0,20171020
null,null,Alachua County Fair,festivals,festivals,-82.284806,29.682793,0.0,0.0,20171020
null,null,Blessed Trinity Carnival,festivals,festivals,-82.13601,29.172118,0.0,0.0,20171020
null,null,Cranston Beervana Fest,festivals,festivals,-71.395345,41.767125,0.0,0.0,20171020
null,null,Louisville Mini Maker Faire,festivals,festivals,-85.756911,38.252429,0.0,0.0,20171020
null,null,Twiddle,concerts,concerts,-122.353894,47.652176,0.0,0.0,20171020
null,null,Fall Cottage Life Show,expos,expos,-79.63767,43.703265,0.0,0.0,20171020
null,null,JR JR,concerts,concerts,-118.349998,34.070202,0.0,0.0,20171020
null,null,Il Lago Dei Cigni,performing-arts,performing-arts,7.35,44.8833,0.0,0.0,20171218
null,null,Hidden Agenda Deluxe, Danni Nicholls, and Eric Devries,concerts,concerts,5.297468,51.695633,0.0,0.0,20171218
null,null,The Art of Banksy Exhibition,performing-arts,performing-arts,13.37969,52.51511,0.0,0.0,20171218
null,null,Benedict Gospel Choir,concerts,concerts,9.2,45.4667,0.0,0.0,20171218
